cik,revtq,atq,ltq,niq,derhedglq,ppegtq,fqtr,fyearq,fyr,datacqtr,conm,datadate
935703.0,1093.1,1864.7,778.4,37.6,,,2.0,2008.0,1.0,2008Q2,DOLLAR TREE INC,2008-07-31
935703.0,1114.0,1921.7,781.6,43.1,,,3.0,2008.0,1.0,2008Q3,DOLLAR TREE INC,2008-10-31
935703.0,1386.5,2035.7,782.5,105.2,,1680.6,4.0,2008.0,1.0,2008Q4,DOLLAR TREE INC,2009-01-31
29534.0,2779.937,8978.801,6047.866,83.006,,,1.0,2009.0,1.0,2009Q1,DOLLAR GENERAL CORP,2009-04-30
29534.0,2901.907,9139.944,6108.125,93.59,,,2.0,2009.0,1.0,2009Q2,DOLLAR GENERAL CORP,2009-07-31
29534.0,2928.751,9132.532,6261.987,75.649,,,3.0,2009.0,1.0,2009Q3,DOLLAR GENERAL CORP,2009-10-31
29534.0,3185.785,8863.519,5454.735,87.197,,1792.373,4.0,2009.0,1.0,2009Q4,DOLLAR GENERAL CORP,2010-01-31
935703.0,1201.1,2073.7,792.2,60.4,,,1.0,2009.0,1.0,2009Q1,DOLLAR TREE INC,2009-04-30
935703.0,1222.8,2135.1,824.7,56.9,,,2.0,2009.0,1.0,2009Q2,DOLLAR TREE INC,2009-07-31
935703.0,1248.7,2180.5,855.6,68.2,,,3.0,2009.0,1.0,2009Q3,DOLLAR TREE INC,2009-10-31
935703.0,1558.6,2289.7,860.5,135.0,,1794.8,4.0,2009.0,1.0,2009Q4,DOLLAR TREE INC,2010-01-31
29534.0,3111.314,8977.076,5423.926,135.996,,,1.0,2010.0,1.0,2010Q1,DOLLAR GENERAL CORP,2010-04-30
29534.0,3214.155,9179.474,5481.703,141.195,,,2.0,2010.0,1.0,2010Q2,DOLLAR GENERAL CORP,2010-07-31
29534.0,3223.427,9349.574,5517.401,128.12,,,3.0,2010.0,1.0,2010Q3,DOLLAR GENERAL CORP,2010-10-31
29534.0,3486.104,9546.222,5482.59,222.546,,2177.269,4.0,2010.0,1.0,2010Q4,DOLLAR GENERAL CORP,2011-01-31
935703.0,1352.6,2142.7,849.7,63.6,,,1.0,2010.0,1.0,2010Q1,DOLLAR TREE INC,2010-04-30
935703.0,1377.9,2257.3,875.8,78.0,,,2.0,2010.0,1.0,2010Q2,DOLLAR TREE INC,2010-07-31
